id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,Hotel Management,hotel-management,"Is now the right time to build? Get helpful insights.
Learn more >",,images/hotel-management.jpg,press_release,,,2024-11-23 23:01:08,2024-11-23 23:01:08,en,Hotel Management,"Is now the right time to build? Get helpful insights.
Learn more >",Hotel Management,"Is now the right time to build? Get helpful insights.
Learn more >",
2,New Alabama Property,new-alabama-property,"TGC Group Opens Extended Stay America Suites Huntsville-Madison.
Read story >",,images/new-alabama-property.jpg,press_release,,,2024-11-23 23:01:09,2024-11-23 23:01:09,en,New Alabama Property,"TGC Group Opens Extended Stay America Suites Huntsville-Madison.
Read story >",New Alabama Property,"TGC Group Opens Extended Stay America Suites Huntsville-Madison.
Read story >",
3,40th Premier Suites,40th-premier-suites,"Extended Stay America Premier Suites Adds Property in Sparks, NV.
Read story >",,images/40th-premier-suites.jpg,press_release,,,2024-11-23 23:01:10,2024-11-23 23:01:10,en,40th Premier Suites,"Extended Stay America Premier Suites Adds Property in Sparks, NV.
Read story >",40th Premier Suites,"Extended Stay America Premier Suites Adds Property in Sparks, NV.
Read story >",
4,New Premier Suites,new-premier-suites,"New Premier Suites hotels opens in Duncan, SC.
Read now >",,images/new-premier-suites.jpg,press_release,,,2024-11-23 23:01:11,2024-11-23 23:01:11,en,New Premier Suites,"New Premier Suites hotels opens in Duncan, SC.
Read now >",New Premier Suites,"New Premier Suites hotels opens in Duncan, SC.
Read now >",
5,Select Suites Prototype,select-suites-prototype,"Construction of new Select Suites prototype commences in FL.
Read story >",,images/select-suites-prototype.jpg,press_release,,,2024-11-23 23:01:12,2024-11-23 23:01:12,en,Select Suites Prototype,"Construction of new Select Suites prototype commences in FL.
Read story >",Select Suites Prototype,"Construction of new Select Suites prototype commences in FL.
Read story >",
6,LODGING Magazine,lodging-magazine,"ESA Leverages Deep Extended-Stay Roots for Rapid Growth
Read story >",,images/lodging-magazine.jpg,press_release,,,2024-11-23 23:01:13,2024-11-23 23:01:13,en,LODGING Magazine,"ESA Leverages Deep Extended-Stay Roots for Rapid Growth
Read story >",LODGING Magazine,"ESA Leverages Deep Extended-Stay Roots for Rapid Growth
Read story >",
7,Leadership Updates,leadership-updates,"ESA announces key additions to its Executive Leadership Team.
Read story >",,images/leadership-updates.jpg,press_release,,,2024-11-23 23:01:15,2024-11-23 23:01:15,en,Leadership Updates,"ESA announces key additions to its Executive Leadership Team.
Read story >",Leadership Updates,"ESA announces key additions to its Executive Leadership Team.
Read story >",
8,STAY Counted,stay-counted,"Extended Stay America Launches STAY Counted Program
Read press release >",,images/stay-counted.jpg,press_release,,,2024-11-23 23:01:16,2024-11-23 23:01:16,en,STAY Counted,"Extended Stay America Launches STAY Counted Program
Read press release >",STAY Counted,"Extended Stay America Launches STAY Counted Program
Read press release >",
9,ACS Partnership,acs-partnership,"ESA donates 100,000 room nights to cancer patients and families.
Learn more >",,images/acs-partnership.jpg,press_release,,,2024-11-23 23:01:17,2024-11-23 23:01:17,en,ACS Partnership,"ESA donates 100,000 room nights to cancer patients and families.
Learn more >",ACS Partnership,"ESA donates 100,000 room nights to cancer patients and families.
Learn more >",
10,Greg Juceam Interview,greg-juceam-interview,"Teague Talks interview with Greg Juceam, President & CEO.
Watch interview >",,images/greg-juceam-interview.jpg,press_release,,,2024-11-23 23:01:18,2024-11-23 23:01:18,en,Greg Juceam Interview,"Teague Talks interview with Greg Juceam, President & CEO.
Watch interview >",Greg Juceam Interview,"Teague Talks interview with Greg Juceam, President & CEO.
Watch interview >",
11,Military Makeover,military-makeover,"Extended Stay America Joins Military Makeover with Montel®
Read release >",,images/military-makeover.jpg,press_release,,,2024-11-23 23:01:20,2024-11-23 23:01:20,en,Military Makeover,"Extended Stay America Joins Military Makeover with Montel®
Read release >",Military Makeover,"Extended Stay America Joins Military Makeover with Montel®
Read release >",
12,Franchise Growth,franchise-growth,"Extended Stay America celebrates 20% growth in franchise portfolio.
Read press release >",,images/franchise-growth.jpg,press_release,,,2024-11-23 23:01:21,2024-11-23 23:01:21,en,Franchise Growth,"Extended Stay America celebrates 20% growth in franchise portfolio.
Read press release >",Franchise Growth,"Extended Stay America celebrates 20% growth in franchise portfolio.
Read press release >",
13,New Virginia Hotel,new-virginia-hotel,"KARA Hospitality opens Extended Stay America Premier Suites.
Read story >",,images/new-virginia-hotel.jpg,press_release,,,2024-11-23 23:01:22,2024-11-23 23:01:22,en,New Virginia Hotel,"KARA Hospitality opens Extended Stay America Premier Suites.
Read story >",New Virginia Hotel,"KARA Hospitality opens Extended Stay America Premier Suites.
Read story >",
14,BASK Development Deal,bask-development-deal,"Eight new Extended Stay America Premier Suites hotels in Florida.
Read story >",,images/bask-development-deal.jpg,press_release,,,2024-11-23 23:01:24,2024-11-23 23:01:24,en,BASK Development Deal,"Eight new Extended Stay America Premier Suites hotels in Florida.
Read story >",BASK Development Deal,"Eight new Extended Stay America Premier Suites hotels in Florida.
Read story >",
15,New California Hotel,new-california-hotel,"Extended Stay America opens new hotel in San Marcos, CA.
Read press release >",,images/new-california-hotel.jpg,press_release,,,2024-11-23 23:01:25,2024-11-23 23:01:25,en,New California Hotel,"Extended Stay America opens new hotel in San Marcos, CA.
Read press release >",New California Hotel,"Extended Stay America opens new hotel in San Marcos, CA.
Read press release >",
16,Celebrating Survival,celebrating-survival,"Extended Stay America honors cancer survivors in June.
Read story >",,images/celebrating-survival.jpg,press_release,,,2024-11-23 23:01:26,2024-11-23 23:01:26,en,Celebrating Survival,"Extended Stay America honors cancer survivors in June.
Read story >",Celebrating Survival,"Extended Stay America honors cancer survivors in June.
Read story >",
17,New Idaho Hotel,new-idaho-hotel,"Extended Stay America Premier Suites adds property in Meridian.
View press release >",,images/new-idaho-hotel.jpg,press_release,,,2024-11-23 23:01:27,2024-11-23 23:01:27,en,New Idaho Hotel,"Extended Stay America Premier Suites adds property in Meridian.
View press release >",New Idaho Hotel,"Extended Stay America Premier Suites adds property in Meridian.
View press release >",
