id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,"The Surrey, A Corinthia Hotel is now open","the-surrey,-a-corinthia-hotel-is-now-open","The Surrey, A Corinthia Hotel opens on New York City's Upper East Side. Under the stewardship of Corinthia Hotels, the new hotel brings vibrant energy to 76th and Madison.",,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,"The Surrey, A Corinthia Hotel is now open","The Surrey, A Corinthia Hotel opens on New York City's Upper East Side. Under the stewardship of Corinthia Hotels, the new hotel brings vibrant energy to 76th and Madison.","The Surrey, A Corinthia Hotel is now open","The Surrey, A Corinthia Hotel opens on New York City's Upper East Side. Under the stewardship of Corinthia Hotels, the new hotel brings vibrant energy to 76th and Madison.",
2,Bookings are now open in New York,bookings-are-now-open-in-new-york,"The Surrey, A Corinthia Hotel, has launched its booking engine and is now accepting reservations for stays commencing in October 2024.",,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Bookings are now open in New York,"The Surrey, A Corinthia Hotel, has launched its booking engine and is now accepting reservations for stays commencing in October 2024.",Bookings are now open in New York,"The Surrey, A Corinthia Hotel, has launched its booking engine and is now accepting reservations for stays commencing in October 2024.",
3,Corinthia Bucharest announces partnership with renowned restaurant Sass’ Café,corinthia-bucharest-announces-partnership-with-renowned-restaurant-sass’-café,"Corinthia Bucharest announces a joint venture with legendary Monaco hotspot SASS’ Café, operated by EYE Management company, set to open in the Romanian capital in early 2025.",,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Corinthia Bucharest announces partnership with renowned restaurant Sass’ Café,"Corinthia Bucharest announces a joint venture with legendary Monaco hotspot SASS’ Café, operated by EYE Management company, set to open in the Romanian capital in early 2025.",Corinthia Bucharest announces partnership with renowned restaurant Sass’ Café,"Corinthia Bucharest announces a joint venture with legendary Monaco hotspot SASS’ Café, operated by EYE Management company, set to open in the Romanian capital in early 2025.",
4,Corinthia Hotels announces two key appointments,corinthia-hotels-announces-two-key-appointments,"Announcing two key appointments with the promotion of Simon Naudi to Group CEO and Managing Director, and Simon P. Casson succeeding him as CEO for Corinthia Hotels.",,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Corinthia Hotels announces two key appointments,"Announcing two key appointments with the promotion of Simon Naudi to Group CEO and Managing Director, and Simon P. Casson succeeding him as CEO for Corinthia Hotels.",Corinthia Hotels announces two key appointments,"Announcing two key appointments with the promotion of Simon Naudi to Group CEO and Managing Director, and Simon P. Casson succeeding him as CEO for Corinthia Hotels.",
5,Carlo Cracco teams up with Corinthia Rome,carlo-cracco-teams-up-with-corinthia-rome,Corinthia Rome has named Carlo Cracco as its Chef Partner for its opening in spring 2024.,,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Carlo Cracco teams up with Corinthia Rome,Corinthia Rome has named Carlo Cracco as its Chef Partner for its opening in spring 2024.,Carlo Cracco teams up with Corinthia Rome,Corinthia Rome has named Carlo Cracco as its Chef Partner for its opening in spring 2024.,
6,Francesco Mazzei at Corinthia Palace,francesco-mazzei-at-corinthia-palace,Corinthia Palace in Malta is delighted to announce a partnership with renowned Italian Chef Francesco Mazzei.,,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Francesco Mazzei at Corinthia Palace,Corinthia Palace in Malta is delighted to announce a partnership with renowned Italian Chef Francesco Mazzei.,Francesco Mazzei at Corinthia Palace,Corinthia Palace in Malta is delighted to announce a partnership with renowned Italian Chef Francesco Mazzei.,
7,Corinthia Hotels supports Just A Drop,corinthia-hotels-supports-just-a-drop,"Since 2012, Corinthia Hotels has been in partnership with the water-aid charity, Just a Drop. ",,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Corinthia Hotels supports Just A Drop,"Since 2012, Corinthia Hotels has been in partnership with the water-aid charity, Just a Drop. ",Corinthia Hotels supports Just A Drop,"Since 2012, Corinthia Hotels has been in partnership with the water-aid charity, Just a Drop. ",
8,Corinthia Palace invited into Signature's Hotels & Resorts,corinthia-palace-invited-into-signature's-hotels-&-resorts,Corinthia Palace is the first property in Malta to be invited into Signature’s Hotels & Resorts Collection.,,,news,,,2024-11-23 22:23:10,2024-11-23 22:23:10,en,Corinthia Palace invited into Signature's Hotels & Resorts,Corinthia Palace is the first property in Malta to be invited into Signature’s Hotels & Resorts Collection.,Corinthia Palace invited into Signature's Hotels & Resorts,Corinthia Palace is the first property in Malta to be invited into Signature’s Hotels & Resorts Collection.,
9,Corinthia Hotels announces Rome development,corinthia-hotels-announces-rome-development,"The Reuben Brothers have acquired a historic property in the centre of Rome and entered into contractual arrangements with Corinthia Hotels, the five-star hotel portfolio, to develop, lease and operate it as an ultra-luxury hotel. ",,,news,,,2024-11-23 22:23:11,2024-11-23 22:23:11,en,Corinthia Hotels announces Rome development,"The Reuben Brothers have acquired a historic property in the centre of Rome and entered into contractual arrangements with Corinthia Hotels, the five-star hotel portfolio, to develop, lease and operate it as an ultra-luxury hotel. ",Corinthia Hotels announces Rome development,"The Reuben Brothers have acquired a historic property in the centre of Rome and entered into contractual arrangements with Corinthia Hotels, the five-star hotel portfolio, to develop, lease and operate it as an ultra-luxury hotel. ",
10,Corinthia London partners with Brompton,corinthia-london-partners-with-brompton,"Corinthia London has joined forces with iconic British bike-maker Brompton, to offer guests an alternative way to explore the city.",,,news,,,2024-11-23 22:23:11,2024-11-23 22:23:11,en,Corinthia London partners with Brompton,"Corinthia London has joined forces with iconic British bike-maker Brompton, to offer guests an alternative way to explore the city.",Corinthia London partners with Brompton,"Corinthia London has joined forces with iconic British bike-maker Brompton, to offer guests an alternative way to explore the city.",
11,Corinthia Palace unveils new look,corinthia-palace-unveils-new-look,Last year Corinthia Palace celebrated its 50th anniversary by commencing a year-long significant refurbishment of the property.,,,news,,,2024-11-23 22:23:11,2024-11-23 22:23:11,en,Corinthia Palace unveils new look,Last year Corinthia Palace celebrated its 50th anniversary by commencing a year-long significant refurbishment of the property.,Corinthia Palace unveils new look,Last year Corinthia Palace celebrated its 50th anniversary by commencing a year-long significant refurbishment of the property.,
12,"Corinthia Hotels announces new hotel in Doha, Qatar","corinthia-hotels-announces-new-hotel-in-doha,-qatar","Corinthia Hotels has signed an agreement with United Development Company (UDC), a leading Qatari public shareholding company and the master developer of The Pearl-Qatar and Gewan Island, to manage and operate a luxury Corinthia hotel to be built in UDC’s newest flagship real estate development, Gewan Island.",,,news,,,2024-11-23 22:23:11,2024-11-23 22:23:11,en,"Corinthia Hotels announces new hotel in Doha, Qatar","Corinthia Hotels has signed an agreement with United Development Company (UDC), a leading Qatari public shareholding company and the master developer of The Pearl-Qatar and Gewan Island, to manage and operate a luxury Corinthia hotel to be built in UDC’s newest flagship real estate development, Gewan Island.","Corinthia Hotels announces new hotel in Doha, Qatar","Corinthia Hotels has signed an agreement with United Development Company (UDC), a leading Qatari public shareholding company and the master developer of The Pearl-Qatar and Gewan Island, to manage and operate a luxury Corinthia hotel to be built in UDC’s newest flagship real estate development, Gewan Island.",
13,Corinthia heads to the Maldives,corinthia-heads-to-the-maldives,Corinthia has signed a hotel management agreement to operate a luxury resort in the Maldives.,,,news,,,2024-11-23 22:23:11,2024-11-23 22:23:11,en,Corinthia heads to the Maldives,Corinthia has signed a hotel management agreement to operate a luxury resort in the Maldives.,Corinthia heads to the Maldives,Corinthia has signed a hotel management agreement to operate a luxury resort in the Maldives.,
14,Corinthia Hotels is pleased to welcome three new industry leaders,corinthia-hotels-is-pleased-to-welcome-three-new-industry-leaders,"Corinthia Hotels announces the appointment of industry leaders to open their new hotels in Rome, New York and Brussels.",,,news,,,2024-11-23 22:23:11,2024-11-23 22:23:11,en,Corinthia Hotels is pleased to welcome three new industry leaders,"Corinthia Hotels announces the appointment of industry leaders to open their new hotels in Rome, New York and Brussels.",Corinthia Hotels is pleased to welcome three new industry leaders,"Corinthia Hotels announces the appointment of industry leaders to open their new hotels in Rome, New York and Brussels.",
