id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,Germain Hotels celebrates the grand opening of their 19th property and announces construction of their 20th hotel,germain-hotels-celebrates-the-grand-opening-of-their-19th-property-and-announces-construction-of-their-20th-hotel,"October 17th, 2023","October 17th, 2023",germainhotels_images/Germain_Hotels_celebrates_the_grand_opening_of_their_19th_property_and_announces_construction_of_their_20th_hotel.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Germain Hotels celebrates the grand opening of their 19th property and announces construction of their 20th hotel,"October 17th, 2023",Germain Hotels celebrates the grand opening of their 19th property and announces construction of their 20th hotel,"October 17th, 2023",
2,"Accolades for the Le Germain Hôtels, and news from Ottawa!","accolades-for-the-le-germain-hôtels,-and-news-from-ottawa!","October 4th, 2023","October 4th, 2023","germainhotels_images/Accolades_for_the_Le_Germain_Hôtels,_and_news_from_Ottawa!.jpg",press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,"Accolades for the Le Germain Hôtels, and news from Ottawa!","October 4th, 2023","Accolades for the Le Germain Hôtels, and news from Ottawa!","October 4th, 2023",
3,Two exceptional team members from Germain Hotels included on KML's prestigious 2022 Top-30-Under 30 list,two-exceptional-team-members-from-germain-hotels-included-on-kml's-prestigious-2022-top-30-under-30-list,"August 31st, 2022","August 31st, 2022",germainhotels_images/Two_exceptional_team_members_from_Germain_Hotels_included_on_KML's_prestigious_2022_Top-30-Under_30_list.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Two exceptional team members from Germain Hotels included on KML's prestigious 2022 Top-30-Under 30 list,"August 31st, 2022",Two exceptional team members from Germain Hotels included on KML's prestigious 2022 Top-30-Under 30 list,"August 31st, 2022",
4,"Germain Hotels partners with Teknotip, the electronic payment solution for tipping","germain-hotels-partners-with-teknotip,-the-electronic-payment-solution-for-tipping","June 16th, 2022","June 16th, 2022","germainhotels_images/Germain_Hotels_partners_with_Teknotip,_the_electronic_payment_solution_for_tipping.jpg",press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,"Germain Hotels partners with Teknotip, the electronic payment solution for tipping","June 16th, 2022","Germain Hotels partners with Teknotip, the electronic payment solution for tipping","June 16th, 2022",
5,Germain Hotels ranks among Canada's 50 Best Managed Companies for a 20th consecutive year,germain-hotels-ranks-among-canada's-50-best-managed-companies-for-a-20th-consecutive-year,"May 10th, 2022","May 10th, 2022",germainhotels_images/Germain_Hotels_ranks_among_Canada's_50_Best_Managed_Companies_for_a_20th_consecutive_year.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Germain Hotels ranks among Canada's 50 Best Managed Companies for a 20th consecutive year,"May 10th, 2022",Germain Hotels ranks among Canada's 50 Best Managed Companies for a 20th consecutive year,"May 10th, 2022",
6,Le Germain Hotel Montreal Unveils Impressive Mural,le-germain-hotel-montreal-unveils-impressive-mural,"August 10th, 2021","August 10th, 2021",germainhotels_images/Le_Germain_Hotel_Montreal_Unveils_Impressive_Mural.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Le Germain Hotel Montreal Unveils Impressive Mural,"August 10th, 2021",Le Germain Hotel Montreal Unveils Impressive Mural,"August 10th, 2021",
7,Le Germain Hotel Montreal emerges anew after a major transformation,le-germain-hotel-montreal-emerges-anew-after-a-major-transformation,"January 30th, 2020","January 30th, 2020",germainhotels_images/Le_Germain_Hotel_Montreal_emerges_anew_after_a_major_transformation.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Le Germain Hotel Montreal emerges anew after a major transformation,"January 30th, 2020",Le Germain Hotel Montreal emerges anew after a major transformation,"January 30th, 2020",
8,A host of prestigious awards makes for an auspicious autumn for Germain Hôtels,a-host-of-prestigious-awards-makes-for-an-auspicious-autumn-for-germain-hôtels,"December 5th, 2019","December 5th, 2019",germainhotels_images/A_host_of_prestigious_awards_makes_for_an_auspicious_autumn_for_Germain_Hôtels.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,A host of prestigious awards makes for an auspicious autumn for Germain Hôtels,"December 5th, 2019",A host of prestigious awards makes for an auspicious autumn for Germain Hôtels,"December 5th, 2019",
9,Le Boulevardier Restaurant and Flâneur Bar Lounge are now open,le-boulevardier-restaurant-and-flâneur-bar-lounge-are-now-open,"November 20th, 2019","November 20th, 2019",germainhotels_images/Le_Boulevardier_Restaurant_and_Flâneur_Bar_Lounge_are_now_open.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Le Boulevardier Restaurant and Flâneur Bar Lounge are now open,"November 20th, 2019",Le Boulevardier Restaurant and Flâneur Bar Lounge are now open,"November 20th, 2019",
10,Terre Restaurant & Café opens in St. John’s,terre-restaurant-&-café-opens-in-st.-john’s,"October 30th, 2019","October 30th, 2019",germainhotels_images/Terre_Restaurant_&_Café_opens_in_St._John’s.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Terre Restaurant & Café opens in St. John’s,"October 30th, 2019",Terre Restaurant & Café opens in St. John’s,"October 30th, 2019",
11,"Christiane Germain in conversation with Michelle Obama in Quebec city on September 23, 2019","christiane-germain-in-conversation-with-michelle-obama-in-quebec-city-on-september-23,-2019","September 10th, 2019","September 10th, 2019","germainhotels_images/Christiane_Germain_in_conversation_with_Michelle_Obama_in_Quebec_city_on_September_23,_2019.jpg",press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,"Christiane Germain in conversation with Michelle Obama in Quebec city on September 23, 2019","September 10th, 2019","Christiane Germain in conversation with Michelle Obama in Quebec city on September 23, 2019","September 10th, 2019",
12,Germain Hôtels announces partership with Cycling Canada,germain-hôtels-announces-partership-with-cycling-canada,"June 7th, 2019","June 7th, 2019",germainhotels_images/Germain_Hôtels_announces_partership_with_Cycling_Canada.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Germain Hôtels announces partership with Cycling Canada,"June 7th, 2019",Germain Hôtels announces partership with Cycling Canada,"June 7th, 2019",
13,Alt Hotel Saskatoon is officially open,alt-hotel-saskatoon-is-officially-open,"February 12th, 2019","February 12th, 2019",germainhotels_images/Alt_Hotel_Saskatoon_is_officially_open.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Alt Hotel Saskatoon is officially open,"February 12th, 2019",Alt Hotel Saskatoon is officially open,"February 12th, 2019",
14,Alt Hotel Calgary East Village is officially open,alt-hotel-calgary-east-village-is-officially-open,"February 5th, 2019","February 5th, 2019",germainhotels_images/Alt_Hotel_Calgary_East_Village_is_officially_open.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Alt Hotel Calgary East Village is officially open,"February 5th, 2019",Alt Hotel Calgary East Village is officially open,"February 5th, 2019",
15,Germain Hôtels and Ottawa International Airport Authority announce the construction of the Alt Hotel Ottawa Airport,germain-hôtels-and-ottawa-international-airport-authority-announce-the-construction-of-the-alt-hotel-ottawa-airport,"January 28th, 2019","January 28th, 2019",germainhotels_images/Germain_Hôtels_and_Ottawa_International_Airport_Authority_announce_the_construction_of_the_Alt_Hotel_Ottawa_Airport.jpg,press_release,,,2024-11-23 23:20:55,2024-11-23 23:20:55,en,Germain Hôtels and Ottawa International Airport Authority announce the construction of the Alt Hotel Ottawa Airport,"January 28th, 2019",Germain Hôtels and Ottawa International Airport Authority announce the construction of the Alt Hotel Ottawa Airport,"January 28th, 2019",
