id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,,,Press release published on ,Read more at https://www.historichotels.org/experiences/arts-culture-museums.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/VNOKH-cards-kivno1hotelfacade.jpg,press_release,,,2024-11-27 00:24:12,2024-11-27 00:24:12,en,,Discover more about ., - SEO Title, - SEO Description,
2,,,Press release published on ,Read more at https://www.historichotels.org/experiences/beach-hotels.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/VCESC-cards-74030753-1-cquerelloterracewithboatii.jpg,press_release,,,2024-11-27 00:24:13,2024-11-27 00:24:13,en,,Discover more about ., - SEO Title, - SEO Description,
3,,,Press release published on ,Read more at https://www.historichotels.org/experiences/city-hotels.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/LONRL-cards-hilonrl61383350entrance-roughtirongates.jpg,press_release,,,2024-11-27 00:24:14,2024-11-27 00:24:14,en,,Discover more about ., - SEO Title, - SEO Description,
4,,,Press release published on ,Read more at https://www.historichotels.org/experiences/college-hotels.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/YOWCL-cards-exteriorday.jpg,press_release,,,2024-11-27 00:24:14,2024-11-27 00:24:14,en,,Discover more about ., - SEO Title, - SEO Description,
5,,,Press release published on ,Read more at https://www.historichotels.org/experiences/resorts.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/SAYLB-cards-exterior01.jpg,press_release,,,2024-11-27 00:24:15,2024-11-27 00:24:15,en,,Discover more about ., - SEO Title, - SEO Description,
6,,,Press release published on ,Read more at https://www.historichotels.org/experiences/family-vacations.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/YJAJP-cards-exteriorviewfromlacbeauvert.jpg,press_release,,,2024-11-27 00:24:16,2024-11-27 00:24:16,en,,Discover more about ., - SEO Title, - SEO Description,
7,,,Press release published on ,Read more at https://www.historichotels.org/experiences/historic-vacations.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/YBACL-cards-historic7.jpg,press_release,,,2024-11-27 00:24:17,2024-11-27 00:24:17,en,,Discover more about ., - SEO Title, - SEO Description,
8,,,Press release published on ,Read more at https://www.historichotels.org/experiences/romantic-getaways.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/PARHR-cards-1.viewtuileries4-otelreginaparis.jpg,press_release,,,2024-11-27 00:24:17,2024-11-27 00:24:17,en,,Discover more about ., - SEO Title, - SEO Description,
9,,,Press release published on ,Read more at https://www.historichotels.org/experiences/national-park-hotels.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/YBAFB-cards-fairmontbanffsprings-otelexterior-pring.jpg,press_release,,,2024-11-27 00:24:18,2024-11-27 00:24:18,en,,Discover more about ., - SEO Title, - SEO Description,
10,,,Press release published on ,Read more at https://www.historichotels.org/experiences/outdoor-activities.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/YQBLM-cards-hoteloutdoorsummer.jpg,press_release,,,2024-11-27 00:24:19,2024-11-27 00:24:19,en,,Discover more about ., - SEO Title, - SEO Description,
11,,,Press release published on ,Read more at https://www.historichotels.org/experiences/family-reunion-locations.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/YSJAR-cards-exterior4.jpg,press_release,,,2024-11-27 00:24:20,2024-11-27 00:24:20,en,,Discover more about ., - SEO Title, - SEO Description,
12,,,Press release published on ,Read more at https://www.historichotels.org/experiences/hiking-trails.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/ZRHWS-cards-hotelwaldhaussils.jpg,press_release,,,2024-11-27 00:24:21,2024-11-27 00:24:21,en,,Discover more about ., - SEO Title, - SEO Description,
13,,,Press release published on ,Read more at https://www.historichotels.org/experiences/spa-retreats.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/SAYLB-cards-buddhaspagardenwaterfall.jpg,press_release,,,2024-11-27 00:24:21,2024-11-27 00:24:21,en,,Discover more about ., - SEO Title, - SEO Description,
14,,,Press release published on ,Read more at https://www.historichotels.org/experiences/group-vacations.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/BUEAP-cards-restaurante01.jpg,press_release,,,2024-11-27 00:24:22,2024-11-27 00:24:22,en,,Discover more about ., - SEO Title, - SEO Description,
15,,,Press release published on ,Read more at https://www.historichotels.org/experiences/magnificent-gardens.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/LUGTP-cards-13-iewfromthefront.jpg,press_release,,,2024-11-27 00:24:23,2024-11-27 00:24:23,en,,Discover more about ., - SEO Title, - SEO Description,
16,,,Press release published on ,Read more at https://www.historichotels.org/experiences/restaurant-dining.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/HHW-hp-offer-Restaurant-Quarre-Terrace.jpg,press_release,,,2024-11-27 00:24:24,2024-11-27 00:24:24,en,,Discover more about ., - SEO Title, - SEO Description,
17,,,Press release published on ,Read more at https://www.historichotels.org/experiences/golf-resorts.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/HHW-hp-offer-The-Dukes-14th.jpg,press_release,,,2024-11-27 00:24:24,2024-11-27 00:24:24,en,,Discover more about ., - SEO Title, - SEO Description,
18,,,Press release published on ,Read more at https://www.historichotels.org/experiences/pet-friendly.php?search=experience&s=ZXhwZXJpZW5jZQ==,https://phgcdn.com/images/uploads/historichotels/package/HHW-hp-offer-Pet-Friendly.jpg,press_release,,,2024-11-27 00:24:25,2024-11-27 00:24:25,en,,Discover more about ., - SEO Title, - SEO Description,
19,2024 Historic Hotels Worldwide® Annual Awards of Excellence Winners Announced,2024-historic-hotels-worldwide-annual-awards-of-excellence-winners-announced,"Press release published on November 21, 2024",Read more at https://www.historichotels.org/press/press-releases/2024-historic-hotels-worldwide-annual-awards-of-excellence-winners-announced,https://phgcdn.com/images/uploads/Press_Room/Misc./The_grand_York.jpg,press_release,,,2024-11-27 00:24:26,2024-11-27 00:24:26,en,2024 Historic Hotels Worldwide® Annual Awards of Excellence Winners Announced,Discover more about 2024 Historic Hotels Worldwide® Annual Awards of Excellence Winners Announced.,2024 Historic Hotels Worldwide® Annual Awards of Excellence Winners Announced - SEO Title,2024 Historic Hotels Worldwide® Annual Awards of Excellence Winners Announced - SEO Description,
20,Baverez Family Receive 2024 Historic Hotels Worldwide® Legendary Family Hoteliers of the Year Award,baverez-family-receive-2024-historic-hotels-worldwide-legendary-family-hoteliers-of-the-year-award,"Press release published on October 31, 2024",Read more at https://www.historichotels.org/press/press-releases/baverez-family-receive-2024-historic-hotels-worldwide-legendary-family-hoteliers-of-the-year-award,https://phgcdn.com/images/uploads/Press_Room/Top_25/Bavarez_Family_.jpg,press_release,,,2024-11-27 00:24:27,2024-11-27 00:24:27,en,Baverez Family Receive 2024 Historic Hotels Worldwide® Legendary Family Hoteliers of the Year Award,Discover more about Baverez Family Receive 2024 Historic Hotels Worldwide® Legendary Family Hoteliers of the Year Award.,Baverez Family Receive 2024 Historic Hotels Worldwide® Legendary Family Hoteliers of the Year Award - SEO Title,Baverez Family Receive 2024 Historic Hotels Worldwide® Legendary Family Hoteliers of the Year Award - SEO Description,
