id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,,,,Press release for  on ,hworld_images/.jpg,press_release,,,2024-11-23 23:26:28,2024-11-23 23:26:28,en,,Press release for  on ,,Press release for  on ,
2,IntercityHotel Bawshar Muscat opens its doors,intercityhotel-bawshar-muscat-opens-its-doors,14.02.2024,Press release for IntercityHotel Bawshar Muscat opens its doors on 14.02.2024,hworld_images/IntercityHotel_Bawshar_Muscat_opens_its_doors.jpg,press_release,,,2024-11-23 23:26:28,2024-11-23 23:26:28,en,IntercityHotel Bawshar Muscat opens its doors,Press release for IntercityHotel Bawshar Muscat opens its doors on 14.02.2024,IntercityHotel Bawshar Muscat opens its doors,Press release for IntercityHotel Bawshar Muscat opens its doors on 14.02.2024,
3,On a journey through time in the land of the pharaohs,on-a-journey-through-time-in-the-land-of-the-pharaohs,18.01.2024,Press release for On a journey through time in the land of the pharaohs on 18.01.2024,hworld_images/On_a_journey_through_time_in_the_land_of_the_pharaohs.jpg,press_release,,,2024-11-23 23:26:29,2024-11-23 23:26:29,en,On a journey through time in the land of the pharaohs,Press release for On a journey through time in the land of the pharaohs on 18.01.2024,On a journey through time in the land of the pharaohs,Press release for On a journey through time in the land of the pharaohs on 18.01.2024,
4,Travel next level: More benefits for members of the loyalty program H Rewards,travel-next-level:-more-benefits-for-members-of-the-loyalty-program-h-rewards,14.12.2023,Press release for Travel next level: More benefits for members of the loyalty program H Rewards on 14.12.2023,hworld_images/Travel_next_level:_More_benefits_for_members_of_the_loyalty_program_H_Rewards.jpg,press_release,,,2024-11-23 23:26:30,2024-11-23 23:26:30,en,Travel next level: More benefits for members of the loyalty program H Rewards,Press release for Travel next level: More benefits for members of the loyalty program H Rewards on 14.12.2023,Travel next level: More benefits for members of the loyalty program H Rewards,Press release for Travel next level: More benefits for members of the loyalty program H Rewards on 14.12.2023,
5,Moin moin: IntercityHotel opening in Lübeck,moin-moin:-intercityhotel-opening-in-lübeck,01.12.2023,Press release for Moin moin: IntercityHotel opening in Lübeck on 01.12.2023,hworld_images/Moin_moin:_IntercityHotel_opening_in_Lübeck.jpg,press_release,,,2024-11-23 23:26:30,2024-11-23 23:26:30,en,Moin moin: IntercityHotel opening in Lübeck,Press release for Moin moin: IntercityHotel opening in Lübeck on 01.12.2023,Moin moin: IntercityHotel opening in Lübeck,Press release for Moin moin: IntercityHotel opening in Lübeck on 01.12.2023,
6,"Dobrý den, Praho: Zleep Hotel opens in Prague","dobrý-den,-praho:-zleep-hotel-opens-in-prague",16.11.2023,"Press release for Dobrý den, Praho: Zleep Hotel opens in Prague on 16.11.2023","hworld_images/Dobrý_den,_Praho:_Zleep_Hotel_opens_in_Prague.jpg",press_release,,,2024-11-23 23:26:31,2024-11-23 23:26:31,en,"Dobrý den, Praho: Zleep Hotel opens in Prague","Press release for Dobrý den, Praho: Zleep Hotel opens in Prague on 16.11.2023","Dobrý den, Praho: Zleep Hotel opens in Prague","Press release for Dobrý den, Praho: Zleep Hotel opens in Prague on 16.11.2023",
7,H World International grows in Switzerland,h-world-international-grows-in-switzerland,17.10.2023,Press release for H World International grows in Switzerland on 17.10.2023,hworld_images/H_World_International_grows_in_Switzerland.jpg,press_release,,,2024-11-23 23:26:32,2024-11-23 23:26:32,en,H World International grows in Switzerland,Press release for H World International grows in Switzerland on 17.10.2023,H World International grows in Switzerland,Press release for H World International grows in Switzerland on 17.10.2023,
8,Hole-in-one between desert and sea,hole-in-one-between-desert-and-sea,05.09.2023,Press release for Hole-in-one between desert and sea on 05.09.2023,hworld_images/Hole-in-one_between_desert_and_sea.jpg,press_release,,,2024-11-23 23:26:32,2024-11-23 23:26:32,en,Hole-in-one between desert and sea,Press release for Hole-in-one between desert and sea on 05.09.2023,Hole-in-one between desert and sea,Press release for Hole-in-one between desert and sea on 05.09.2023,
9,IntercityHotel opens in Karlsruhe,intercityhotel-opens-in-karlsruhe,13.07.2023,Press release for IntercityHotel opens in Karlsruhe on 13.07.2023,hworld_images/IntercityHotel_opens_in_Karlsruhe.jpg,press_release,,,2024-11-23 23:26:33,2024-11-23 23:26:33,en,IntercityHotel opens in Karlsruhe,Press release for IntercityHotel opens in Karlsruhe on 13.07.2023,IntercityHotel opens in Karlsruhe,Press release for IntercityHotel opens in Karlsruhe on 13.07.2023,
10,Steigenberger Hotels & Resorts brand coming to Bielefeld,steigenberger-hotels-&-resorts-brand-coming-to-bielefeld,11.07.2023,Press release for Steigenberger Hotels & Resorts brand coming to Bielefeld on 11.07.2023,hworld_images/Steigenberger_Hotels_&_Resorts_brand_coming_to_Bielefeld.jpg,press_release,,,2024-11-23 23:26:34,2024-11-23 23:26:34,en,Steigenberger Hotels & Resorts brand coming to Bielefeld,Press release for Steigenberger Hotels & Resorts brand coming to Bielefeld on 11.07.2023,Steigenberger Hotels & Resorts brand coming to Bielefeld,Press release for Steigenberger Hotels & Resorts brand coming to Bielefeld on 11.07.2023,
