id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,The Iberostar Foundation and Planeterra join forces to promote community tourism at destinations with Iberostar hotels,the-iberostar-foundation-and-planeterra-join-forces-to-promote-community-tourism-at-destinations-with-iberostar-hotels,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,The Iberostar Foundation and Planeterra join forces to promote community tourism at destinations with Iberostar hotels,Discover more about The Iberostar Foundation and Planeterra join forces to promote community tourism at destinations with Iberostar hotels.,The Iberostar Foundation and Planeterra join forces to promote community tourism at destinations with Iberostar hotels - SEO Title,The Iberostar Foundation and Planeterra join forces to promote community tourism at destinations with Iberostar hotels - SEO Description,
2,Iberostar advances new projects in Europe and America,iberostar-advances-new-projects-in-europe-and-america,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar advances new projects in Europe and America,Discover more about Iberostar advances new projects in Europe and America.,Iberostar advances new projects in Europe and America - SEO Title,Iberostar advances new projects in Europe and America - SEO Description,
3,Iberostar Waves Gaviotas Park reopens in Fuerteventura,iberostar-waves-gaviotas-park-reopens-in-fuerteventura,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar Waves Gaviotas Park reopens in Fuerteventura,Discover more about Iberostar Waves Gaviotas Park reopens in Fuerteventura.,Iberostar Waves Gaviotas Park reopens in Fuerteventura - SEO Title,Iberostar Waves Gaviotas Park reopens in Fuerteventura - SEO Description,
4,Grupo Iberostar and Acciona Energía sign a PPA for renewable supply in Spain,grupo-iberostar-and-acciona-energía-sign-a-ppa-for-renewable-supply-in-spain,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Grupo Iberostar and Acciona Energía sign a PPA for renewable supply in Spain,Discover more about Grupo Iberostar and Acciona Energía sign a PPA for renewable supply in Spain.,Grupo Iberostar and Acciona Energía sign a PPA for renewable supply in Spain - SEO Title,Grupo Iberostar and Acciona Energía sign a PPA for renewable supply in Spain - SEO Description,
5,Iberostar Beachfront Resorts Unveils New Hotel Branding Approach,iberostar-beachfront-resorts-unveils-new-hotel-branding-approach,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar Beachfront Resorts Unveils New Hotel Branding Approach,Discover more about Iberostar Beachfront Resorts Unveils New Hotel Branding Approach.,Iberostar Beachfront Resorts Unveils New Hotel Branding Approach - SEO Title,Iberostar Beachfront Resorts Unveils New Hotel Branding Approach - SEO Description,
6,Iberostar Hotels & Resorts announces collaboration with renowned chef Irini Tzortzoglou for the reopening of Iberostar Selection Creta Marine,iberostar-hotels-&-resorts-announces-collaboration-with-renowned-chef-irini-tzortzoglou-for-the-reopening-of-iberostar-selection-creta-marine,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar Hotels & Resorts announces collaboration with renowned chef Irini Tzortzoglou for the reopening of Iberostar Selection Creta Marine,Discover more about Iberostar Hotels & Resorts announces collaboration with renowned chef Irini Tzortzoglou for the reopening of Iberostar Selection Creta Marine.,Iberostar Hotels & Resorts announces collaboration with renowned chef Irini Tzortzoglou for the reopening of Iberostar Selection Creta Marine - SEO Title,Iberostar Hotels & Resorts announces collaboration with renowned chef Irini Tzortzoglou for the reopening of Iberostar Selection Creta Marine - SEO Description,
7,Iberostar to open its first hotel in Aruba,iberostar-to-open-its-first-hotel-in-aruba,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar to open its first hotel in Aruba,Discover more about Iberostar to open its first hotel in Aruba.,Iberostar to open its first hotel in Aruba - SEO Title,Iberostar to open its first hotel in Aruba - SEO Description,
8,Iberostar reopens Iberostar Selection Creta Marine,iberostar-reopens-iberostar-selection-creta-marine,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar reopens Iberostar Selection Creta Marine,Discover more about Iberostar reopens Iberostar Selection Creta Marine.,Iberostar reopens Iberostar Selection Creta Marine - SEO Title,Iberostar reopens Iberostar Selection Creta Marine - SEO Description,
9,"Iberostar launches ""You Do You"", a new campaign that puts their guests first","iberostar-launches-""you-do-you""-a-new-campaign-that-puts-their-guests-first",,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,"Iberostar launches ""You Do You"", a new campaign that puts their guests first","Discover more about Iberostar launches ""You Do You"", a new campaign that puts their guests first.","Iberostar launches ""You Do You"", a new campaign that puts their guests first - SEO Title","Iberostar launches ""You Do You"", a new campaign that puts their guests first - SEO Description",
10,Iberostar reaffirms its support for the Trofeo Princesa Sofía,iberostar-reaffirms-its-support-for-the-trofeo-princesa-sofía,,,,press_release,,,2024-11-27 00:51:18,2024-11-27 00:51:18,en,Iberostar reaffirms its support for the Trofeo Princesa Sofía,Discover more about Iberostar reaffirms its support for the Trofeo Princesa Sofía.,Iberostar reaffirms its support for the Trofeo Princesa Sofía - SEO Title,Iberostar reaffirms its support for the Trofeo Princesa Sofía - SEO Description,
